Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
AK Markram,2023-2023,9,3,10.3,-,62,0,-,-,5.90,-,-,-,4,-
T Bavuma,2023-2023,7,-,0.0,-,-,0,-,-,-,-,-,-,3,-
Q de Kock,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,18,1
RR Hendricks,2023-2023,2,-,0.0,-,-,0,-,-,-,-,-,-,1,-
H Klaasen,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,9,-
DA Miller,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,7,-
HE van der Dussen,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,3,-
Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
AD Mathews,2023-2023,5,5,22.1,2,107,6,2/14,17.83,4.82,22.1,-,-,-,-
D Madushanka,2023-2023,9,9,78.2,4,525,21,5/80,25.00,6.70,22.3,1,-,-,-
CBRLS Kumara,2023-2023,2,2,11.0,-,82,3,3/35,27.33,7.45,22.0,-,-,-,-
CAK Rajitha,2023-2023,6,6,49.0,1,336,8,4/50,42.00,6.85,36.7,-,-,1,-
M Theekshana,2023-2023,8,8,71.2,1,382,6,2/44,63.66,5.35,71.3,-,-,2,-
M Pathirana,2023-2023,2,2,19.0,-,185,2,1/90,92.50,9.73,57.0,-,-,-,-
PVD Chameera,2023-2023,4,4,31.2,3,196,2,1/20,98.00,6.25,94.0,-,-,-,-
DN Wellalage,2023-2023,3,3,29.2,-,196,2,1/53,98.00,6.68,88.0,-,-,1,-
MD Shanaka,2023-2023,2,2,11.0,-,64,0,-,-,5.81,-,-,-,1,-
MADI Hemantha,2023-2023,2,2,16.0,-,94,0,-,-,5.87,-,-,-,1,-
C Karunaratne,2023-2023,3,2,12.0,1,73,0,-,-,6.08,-,-,-,1,-
DM de Silva,2023-2023,8,8,25.0,-,174,0,-,-,6.96,-,-,-,4,-
KIC Asalanka,2023-2023,9,1,1.0,-,10,0,-,-,10.00,-,-,-,4,-
FDM Karunaratne,2023-2023,2,-,0.0,-,-,0,-,-,-,-,-,-,2,-
BKG Mendis,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,6,1
P Nissanka,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,2,-
MDKJ Perera,2023-2023,7,-,0.0,-,-,0,-,-,-,-,-,-,3,-
S Samarawickrama,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,3,-
